project_id,mp_id,constituency_id,state,district,latitude,longitude,work_category,work_description,implementing_agency,executing_agency,vendor_id,sanctioned_amount,estimated_cost,released_amount,expenditure_amount,recommended_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,utilization_certificate_filed,created_at,updated_at
MPLADS-AP-2024-00001,MP-AP-016,PC-AP-013,Andhra Pradesh,Vijayawada,15.585638,79.753398,ROADS,Widening and strengthening of village road at Nehru Nagar block,Vijayawada Panchayati Raj Department,Vijayawada Panchayati Raj Department,VEN-00377,1100747.0,1124085.77,1083634.3,1062948.29,2024-05-19,2024-08-06,2024-11-25,2025-11-19,2025-10-20,COMPLETED,False,2024-05-19T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-UP-2021-00001,MP-UP-018,PC-UP-016,Uttar Pradesh,Varanasi,26.427657,79.867314,ROADS,Construction of bridge/culvert on approach road to Devpur,Varanasi Municipal Corporation,PWD Varanasi Division,VEN-00529,2823096.0,2767508.07,2739163.11,2592990.02,2024-03-19,2024-03-29,2024-04-09,2023-05-12,2023-05-27,COMPLETED,False,2021-12-17T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-RJ-2024-00001,MP-RJ-002,,Rajasthan,Bikaner,27.857281,74.908743,EDUCATION,"Provision of furniture and computer lab to Government School, Lakshmipur Gram Panchayat",Cantonment Board Bikaner,Rajasthan Housing Board — Bikaner Circle,VEN-00638,1898574.0,1886775.12,1836227.43,1668103.15,2024-10-17,2024-12-17,2025-03-27,2026-01-11,2025-12-25,COMPLETED,True,2024-10-17T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-KA-2025-00001,MP-KA-017,PC-KA-014,Karnataka,Belagavi,14.550343,75.561943,SPORTS,Construction of village sports ground/stadium at Chandpur Gram Panchayat,PWD Belagavi Division,Cantonment Board Belagavi,VEN-00727,1084276.0,1102968.14,1059354.99,1001711.06,2025-07-01,2025-08-21,2025-10-23,2026-05-19,2026-07-21,COMPLETED,True,2025-07-01T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-TG-2020-00001,MP-TG-002,PC-TG-002,Telangana,Karimnagar,17.885782,79.448572,HEALTH,"Upgradation of Primary Health Centre, Nehru Nagar village",Cantonment Board Karimnagar,Karimnagar Panchayati Raj Department,VEN-00890,2430426.0,2358998.12,2415611.43,2176549.84,2020-11-29,2021-02-14,2021-05-12,2021-11-30,2021-12-31,COMPLETED,True,2020-11-29T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-MH-2019-00001,MP-MH-012,,Maharashtra,Aurangabad,19.972059,74.891697,ROADS,Widening and strengthening of village road at Shivpuri block,Aurangabad Panchayati Raj Department,Maharashtra Housing Board — Aurangabad Circle,VEN-00744,1511151.0,1557106.11,1463803.35,1386786.64,2019-09-11,2019-10-27,2020-01-14,2021-01-30,2021-03-13,COMPLETED,True,2019-09-11T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-CG-2023-00001,MP-CG-011,PC-CG-009,Chhattisgarh,Durg,21.443274,82.58974,PUBLIC_INFRASTRUCTURE,Construction of public library at Ambedkar Nagar Gram Panchayat,Durg Rural Development Agency,Durg Municipal Corporation,VEN-00529,789434.0,819829.91,755978.96,738743.28,2023-05-10,2023-07-06,2023-10-26,2024-04-08,2024-03-23,COMPLETED,True,2023-05-10T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-OD-2024-00001,MP-OD-019,PC-OD-013,Odisha,Cuttack,21.080578,85.865125,DISASTER_RELIEF,Construction of raised flood shelter platform at Nehru Nagar Gram Panchayat,Cantonment Board Cuttack,Cantonment Board Cuttack,VEN-00728,2433895.0,2668261.01,2403127.55,2207594.48,2024-10-06,2024-11-16,2025-01-28,2025-04-01,2025-03-25,COMPLETED,True,2024-10-06T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-HR-2024-00001,MP-HR-006,PC-HR-005,Haryana,Gurugram,29.693406,76.986481,ROADS,Construction of 1.1 km cement concrete road from Rampur to Anandpur hamlet,Gurugram Panchayati Raj Department,Gurugram Panchayati Raj Department,VEN-00786,1951425.0,1861470.13,1867633.61,1658324.36,2024-06-22,2024-08-09,2024-08-26,2025-01-30,2025-04-18,COMPLETED,True,2024-06-22T09:00:00Z,2026-09-04T04:00:00Z
MPLADS-UP-2020-00002,MP-UP-018,PC-UP-016,Uttar Pradesh,Varanasi,25.768669,81.822303,DRINKING_WATER,Construction of overhead water tank (30 KL capacity) at Vijaynagar village,Cantonment Board Varanasi,Varanasi Rural Development Agency,VEN-00121,2046881.0,2200328.37,1471617.34,1269393.25,2020-06-15,2020-07-29,2020-08-21,2021-02-28,,DELAYED,False,2020-06-15T09:00:00Z,2026-09-04T04:00:00Z
